; CSV, generated by libsigrok4DSL 0.2.0 on Sun Nov 09 13:07:41 2025
; Channels (16/16)
; Sample rate: 50 kHz
; Sample count: 600.64 K Samples
Time(s), clock, a15, a14, a13, a12, a11, a10, a9, a8, a7, a6, a5, a4, a3, a2, a1
1.5721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57216,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57382,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.57458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.57548,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.57624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.57632,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.57708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.57714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.5779,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.57798,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.57874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.5788,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.57956,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
1.57962,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
1.5804,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.58046,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.58122,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.58128,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
